Codigo,Descripcion,Unidad,Activo,AVA01,AVA02,AVA03,AVA04,Proveedor,Familia,Clase,Línea,Ubicación
40-ACRI-CTE-6MM,ACRILICO 6MM CORTE,M2,False,0,0,0,0,"PLASTICOS ESPECIALES GAREN, S A DE C V",ACRILICOS,ACRILICOS,ACRILICOS,1
40-ACRI-CTE-3MM,"ACRILICO CRISTAL 3,MM",M2,True,0,0,0,144.09,"PLASTICOS ESPECIALES GAREN, S A DE C V",ACRILICOS,ACRILICOS,ACRILICOS,4
40-ET10112018012,"ACRILICO EXP. CRISTAL 12,MM 1.20 X 1.80 MTS",PZA,False,0,0,0,0,"PLASTICOS ESPECIALES GAREN, S A DE C V",ACRILICOS,ACRILICOS,ACRILICOS,1
40-ET1011201809,ACRILICO EXP. CRISTAL 9.MM 1.20 X 1.80 MTS.,PZA,True,6,0,5,0,"PLASTICOS ESPECIALES GAREN, S A DE C V",ACRILICOS,ACRILICOS,ACRILICOS,3
40-NB2021201803,ACRILICO NVA GENERACION BLANCO 3.MM 1.20 X 1.80 MTS.,PZA,True,0,0,6,0,"PLASTICOS ESPECIALES GAREN, S A DE C V",ACRILICOS,ACRILICOS,ACRILICOS,3
40-NB2021802403,ACRILICO NVA GENERACION BLANCO 3.MM 1.80 X 2.40 MTS.,PZA,True,0,0,0,15,"PLASTICOS ESPECIALES GAREN, S A DE C V",ACRILICOS,ACRILICOS,ACRILICOS,4
40-NB2021201804,ACRILICO NVA GENERACION BLANCO 4.MM 1.20 X 1.80 MTS.,PZA,False,0,0,0,0,"PLASTICOS ESPECIALES GAREN, S A DE C V",ACRILICOS,ACRILICOS,ACRILICOS,1
40-NB2021802404,ACRILICO NVA GENERACION BLANCO 4.MM 1.80 X 2.40 MTS.,PZA,False,0,0,0,0,"PLASTICOS ESPECIALES GAREN, S A DE C V",ACRILICOS,ACRILICOS,ACRILICOS,1
40-NB2021201805,ACRILICO NVA GENERACION BLANCO 5.MM 1.20 X 1.80 MTS.,PZA,False,0,0,0,0,"PLASTICOS ESPECIALES GAREN, S A DE C V",ACRILICOS,ACRILICOS,ACRILICOS,1
40-NB2021802405,ACRILICO NVA GENERACION BLANCO 5.MM 1.80 X 2.40 MTS.,PZA,False,0,0,0,0,"PLASTICOS ESPECIALES GAREN, S A DE C V",ACRILICOS,ACRILICOS,ACRILICOS,1
40-NB2021201806,ACRILICO NVA GENERACION BLANCO 6.MM 1.20 X 1.80 MTS.,PZA,True,0,0,0,0,"PLASTICOS ESPECIALES GAREN, S A DE C V",ACRILICOS,ACRILICOS,ACRILICOS,3
