nuevocodigo,eliminar,id,alterno,alterno2,descripcion,sustancia,unidad,gramaje,presentacion,plista,dctoprov,arancel,mcom,madm,costoreal,m1,m2,m3,p1,p2,p3,familia,nombrefamilia,clase,nombreclase,linea,nombrelinea,fecha,alta,impuesto,m4,m5,m6,p4,p5,p6,entero,autocant,minimo,maximo,imagen,existencia,ultcompra,ultventa,proveedor,nombre
,,126-1380001200SA,1380001200SA,1010101,"ABA BASE SIN TAPA PARA PARED LATERAL TUBO DE 2"" 50.8MM AC INOX 304",,PZA,4,PZA,337.60,31.96,0.00,0.00,0.00,229.70,27.00,25.00,25.00,365.01,355.27,355.27,3,HERRAJES,14,HERRAJES,105,COMENZA,3/21/2025,12-01-26,16.00,0.00,0.00,0.00,0.00,0.00,0.00,FALSE,FALSE,0.00,0.00,126-1380002200SA,0.00,,,26,"HERRALUM INDUSTRIAL, S.A. DE C.V."
,,126-138002100,138002100,30191601,ABA BOLSA (10 PZAS) TORNILLO AC INOX C/C ALLEN M8 DIN-912,,PZA,4,,117.10,31.96,0.00,0.00,0.00,117.10,27.00,25.00,25.00,186.07,181.11,181.11,3,HERRAJES,14,HERRAJES,105,COMENZA,3/21/2025,2/23/2026,16.00,0.00,0.00,0.00,0.00,0.00,0.00,FALSE,FALSE,0.00,0.00,126-138002100,0.00,,,26,"HERRALUM INDUSTRIAL, S.A. DE C.V."
,,126-138002000,138002000,30191601,ABA BOLSA (10 PZAS) TORNILLO AC INOX C/PLANA ALLEN M-6 DIN 7991,,PZA,4,,123.70,31.96,0.00,0.00,0.00,123.70,27.00,25.00,25.00,196.56,191.32,191.32,3,HERRAJES,14,HERRAJES,105,COMENZA,3/21/2025,5/23/2025,16.00,0.00,0.00,0.00,0.00,0.00,0.00,FALSE,FALSE,0.00,0.00,126-138002000,0.00,,5/23/2025,26,"HERRALUM INDUSTRIAL, S.A. DE C.V."
,,126-138001900,138001900,30191601,ABA BOLSA (10 PZAS) TUERCA AC INOX REMACHABLE M8 C/BAJA,,PZA,4,,114.85,31.96,0.00,0.00,0.00,114.85,27.00,25.00,25.00,182.50,177.64,177.64,3,HERRAJES,14,HERRAJES,105,COMENZA,3/21/2025,5/23/2025,16.00,0.00,0.00,0.00,0.00,0.00,0.00,FALSE,FALSE,0.00,0.00,126-138001900,0.00,,5/23/2025,26,"HERRALUM INDUSTRIAL, S.A. DE C.V."
,,126-138001800,138001800,1010101,ABA BOLSA (10PZ) TUERCA AC INOX REMACHABLE M6 C/BAJA,,PZA,4,,88.38,31.96,0.00,0.00,0.00,88.38,27.00,25.00,25.00,140.45,136.70,136.70,3,HERRAJES,14,HERRAJES,105,COMENZA,6/25/2025,6/25/2025,16.00,0.00,0.00,0.00,0.00,0.00,0.00,FALSE,FALSE,0.00,0.00,126-138002100,0.00,,6/25/2025,26,"HERRALUM INDUSTRIAL, S.A. DE C.V."
,,126-1380007012SA,1380007012SA,30191601,ABA CODO AJUSTABLE 12.7 MM AC INOX C304 MOD SA406,,PZA,4,,99.00,31.96,0.00,0.00,0.00,99.00,27.00,25.00,25.00,157.31,153.12,153.12,3,HERRAJES,14,HERRAJES,105,COMENZA,3/21/2025,9/19/2025,16.00,0.00,0.00,0.00,0.00,0.00,0.00,FALSE,FALSE,0.00,0.00,126-1380007012SA,0.00,,09-12-25,26,"HERRALUM INDUSTRIAL, S.A. DE C.V."
,,126-1380007200SA,1380007200SA,30191601,ABA CODO AJUSTABLE 50.8 MM AC INOX C304 MOD SA406,,PZA,4,PZA,419.81,31.96,0.00,0.00,0.00,419.81,27.00,25.00,25.00,667.09,649.30,649.30,3,HERRAJES,14,HERRAJES,105,COMENZA,3/21/2025,9/19/2025,16.00,0.00,0.00,0.00,0.00,0.00,0.00,FALSE,FALSE,0.00,0.00,126-138007200SA,0.00,,2/19/2026,26,"HERRALUM INDUSTRIAL, S.A. DE C.V."
,,126-1380046200SA,1380046200SA,30191601,ABA CODO AJUSTABLE 50.8 MM AC INOX C304 MOD SA409,,PZA,4,,420.22,31.96,0.00,0.00,0.00,285.92,26.00,24.00,22.00,448.20,436.40,425.21,3,HERRAJES,14,HERRAJES,105,COMENZA,06-08-25,3/14/2020,16.00,0.00,0.00,0.00,0.00,0.00,0.00,FALSE,FALSE,0.00,0.00,126-1380046200SA,0.00,,,26,"HERRALUM INDUSTRIAL, S.A. DE C.V."
,,126-1380003200SA,1380003200SA,30191601,"ABA CODO RECTO A 90 GRADOS P/TUBO 2"" 50.8MM AC INOX 304 A 90° MOD CT200",,PZA,4,,238.82,31.96,0.00,0.00,0.00,238.82,27.00,25.00,25.00,379.50,369.38,369.38,3,HERRAJES,14,HERRAJES,105,COMENZA,3/21/2025,7/30/2025,16.00,0.00,0.00,0.00,0.00,0.00,0.00,FALSE,FALSE,0.00,0.00,126-1380003200SA,0.00,,2/27/2026,26,"HERRALUM INDUSTRIAL, S.A. DE C.V."
,,126-1380011200SA,1380011200SA,30191601,ABA CONECTOR COMENZA GRAPA CURVO P/VIDRIO DE 8 A 10MM,,PZA,4,PZA,193.71,31.96,0.00,0.00,0.00,193.71,27.00,25.00,25.00,307.81,299.60,299.60,3,HERRAJES,14,HERRAJES,105,COMENZA,3/21/2025,04-09-25,16.00,0.00,0.00,0.00,0.00,0.00,0.00,FALSE,FALSE,0.00,0.00,126-1380011-SA,0.00,,04-09-25,26,"HERRALUM INDUSTRIAL, S.A. DE C.V."
